Park,Prov/State,Country,Adults,Child,partySize,Booking Type,RateType,Equipment,BookingStartDate,BookingEnddate,Camper Nights,Permits
Thomas Raddall,NS,CANADA,2,,2,CampsitePermit,Full,Less than 40ft,06/28/2013,07/01/2013,3,1
Five Islands,NS,CANADA,2,,2,CampsitePermit,Senior,Less than 20ft,09/13/2013,09/14/2013,1,1
Amherst Shore,NS,CANADA,2,,2,CampsitePermit,Full,Less than 30ft,09/29/2013,09/30/2013,1,1
Mira River,SWITZERLAND,Other,2,3,5,CampsitePermit,Full,Less than 30ft,07/13/2013,07/14/2013,1,1
Whycocomagh,NS,CANADA,2,,2,CampsitePermit,Full,Less than 40ft,06/14/2013,06/16/2013,2,1
Blomidon,NS,CANADA,1,,1,CampsitePermit,Full,Single Tent,08/19/2013,08/21/2013,2,1
Caribou Munroes,NS,CANADA,2,3,5,CampsitePermit,Full,Single Tent,07/05/2013,07/07/2013,2,1
Rissers Beach,NS,CANADA,4,,4,CampsitePermit,Full,Tents,08/16/2013,08/18/2013,2,1
Amherst Shore,CT,USA,2,2,4,CampsitePermit,Full,Single Tent,07/02/2013,07/03/2013,1,1
Porters Lake,NS,CANADA,2,2,4,CampsitePermit,Full,Less than 20ft,08/10/2013,08/11/2013,1,1
Mira River,NS,CANADA,2,2,4,CampsitePermit,Full,Less than 20ft,06/21/2013,06/23/2013,2,1
Smileys,NS,CANADA,2,,2,CampsitePermit,Full,Less than 40ft,07/12/2013,07/14/2013,2,1
Caribou Munroes,NS,CANADA,4,,4,CampsitePermit,Full,Single Tent,09/06/2013,09/08/2013,2,1
Mira River,NS,CANADA,2,,2,CampsitePermit,Senior,Less than 20ft,08/02/2013,08/04/2013,2,1
Mira River,NS,CANADA,2,2,4,CampsitePermit,Full,Less than 30ft,06/28/2013,07/01/2013,3,1
Rissers Beach,NS,CANADA,4,,4,CampsitePermit,Full,Tents,09/06/2013,09/08/2013,2,1
Rissers Beach,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,08/18/2013,08/23/2013,5,1
The Islands,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,07/26/2013,07/27/2013,1,1
Caribou Munroes,NS,CANADA,2,2,4,CampsitePermit,Full,Single Tent,06/21/2013,06/23/2013,2,1
Blomidon,NS,CANADA,2,1,3,CampsitePermit,Full,Tents,07/31/2013,08/01/2013,1,1
Salsman,NS,CANADA,2,,2,CampsitePermit,Full,Less than 40ft,08/07/2013,08/08/2013,1,1
Battery,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,07/27/2013,07/28/2013,1,1
Dollar Lake,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,06/26/2013,06/27/2013,1,1
Valleyview,NS,CANADA,2,2,4,CampsitePermit,Full,Less than 20ft,08/23/2013,08/25/2013,2,1
Rissers Beach,NB,CANADA,3,,3,CampsitePermit,Full,Single Tent,08/05/2013,08/06/2013,1,1
Caribou Munroes,NS,CANADA,2,,2,CampsitePermit,Senior,Less than 30ft,06/20/2013,06/21/2013,1,1
Cape Chignecto,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,06/15/2013,06/16/2013,1,1
Valleyview,NS,CANADA,4,,4,CampsitePermit,Full,Tents,08/31/2013,09/02/2013,2,1
Valleyview,NS,CANADA,2,1,3,CampsitePermit,Full,Less than 20ft,08/11/2013,08/13/2013,2,1
Five Islands,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,07/24/2013,07/25/2013,1,1
Cape Chignecto,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,08/11/2013,08/12/2013,1,1
Thomas Raddall,NS,CANADA,4,,4,CampsitePermit,Full,Less than 20ft,08/09/2013,08/12/2013,3,1
Caribou Munroes,NS,CANADA,2,3,5,CampsitePermit,Full,Single Tent,07/19/2013,07/21/2013,2,1
