Park,Prov/State,Country,Adults,Child,partySize,Booking Type,RateType,Equipment,BookingStartDate,BookingEnddate,Camper Nights,Permits
The Islands,NS,CANADA,2,,2,CampsitePermit,Senior,Less than 20ft,10/11/2013,10/12/2013,1,1
Caribou Munroes,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,07/02/2013,07/03/2013,1,1
Blomidon,NS,CANADA,3,,3,CampsitePermit,Full,Less than 30ft,08/06/2013,08/09/2013,3,1
Whycocomagh,NS,CANADA,3,,3,CampsitePermit,Senior,Less than 30ft,08/16/2013,08/17/2013,1,1
Porters Lake,NS,CANADA,2,,2,CampsitePermit,Senior,Less than 40ft,07/04/2013,07/06/2013,2,1
Smileys,NS,CANADA,4,1,5,CampsitePermit,Full,Less than 20ft,06/22/2013,06/23/2013,1,1
Amherst Shore,NS,CANADA,2,3,5,CampsitePermit,Full,Less than 30ft,07/14/2013,07/15/2013,1,1
Cape Chignecto,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,09/29/2013,10/02/2013,3,1
Battery,NS,CANADA,1,2,3,CampsitePermit,Full,Single Tent,07/10/2013,07/11/2013,1,1
Thomas Raddall,NS,CANADA,1,2,3,CampsitePermit,Full,Single Tent,08/14/2013,08/16/2013,2,1
Porters Lake,NS,CANADA,2,,2,CampsitePermit,Full,Tents,07/28/2013,07/30/2013,2,1
Five Islands,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,08/31/2013,09/02/2013,2,1
Rissers Beach,NS,CANADA,1,,1,CampsitePermit,Senior,Single Tent,09/21/2013,09/22/2013,1,1
Ellenwood Lake,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,07/05/2013,07/06/2013,1,1
Boylston,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,08/24/2013,08/25/2013,1,1
Thomas Raddall,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,08/11/2013,08/12/2013,1,1
Whycocomagh,NS,CANADA,2,,2,CampsitePermit,Senior,Less than 20ft,08/23/2013,08/24/2013,1,1
Mira River,NS,CANADA,3,,3,CampsitePermit,Full,Less than 30ft,06/28/2013,07/03/2013,5,1
Mira River,NS,CANADA,3,,3,CampsitePermit,Full,Single Tent,08/01/2013,08/04/2013,3,1
Blomidon,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,08/03/2013,08/04/2013,1,1
Caribou Munroes,NS,CANADA,1,1,2,CampsitePermit,Full,Single Tent,06/22/2013,06/23/2013,1,1
Porters Lake,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,07/10/2013,07/11/2013,1,1
Caribou Munroes,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,07/09/2013,07/11/2013,2,1
Blomidon,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,07/12/2013,07/14/2013,2,1
Mira River,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,07/07/2013,07/08/2013,1,1
Mira River,NS,CANADA,4,1,5,CampsitePermit,Full,Single Tent,06/29/2013,07/01/2013,2,1
Mira River,NS,CANADA,4,1,5,CampsitePermit,Full,Single Tent,06/29/2013,07/01/2013,2,1
Blomidon,NS,CANADA,2,,2,CampsitePermit,Senior,Less than 20ft,08/02/2013,08/05/2013,3,1
Blomidon,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,07/06/2013,07/07/2013,1,1
Smileys,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,09/11/2013,09/12/2013,1,1
Mira River,NS,CANADA,4,3,7,CampsitePermit,Full,Less than 30ft,08/09/2013,08/10/2013,1,1
Dollar Lake,NS,CANADA,4,,4,CampsitePermit,Full,Single Tent,08/10/2013,08/11/2013,1,1
Dollar Lake,NS,CANADA,4,,4,CampsitePermit,Full,Single Tent,08/10/2013,08/11/2013,1,1
Graves Island,NS,CANADA,2,,2,CampsitePermit,Full,Less than 30ft,09/23/2013,09/27/2013,4,1
Caribou Munroes,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,07/18/2013,07/19/2013,1,1
Mira River,NS,CANADA,2,2,4,CampsitePermit,Full,Less than 30ft,09/06/2013,09/08/2013,2,1
Graves Island,NS,CANADA,1,,1,CampsitePermit,Full,Single Tent,08/19/2013,08/21/2013,2,1
Battery,NS,CANADA,2,2,4,CampsitePermit,Full,Less than 20ft,08/03/2013,08/05/2013,2,1
Dollar Lake,NS,CANADA,2,,2,CampsitePermit,Full,Less than 30ft,06/28/2013,07/01/2013,3,1
Caribou Munroes,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,07/29/2013,08/10/2013,12,1
Laurie,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,08/01/2013,08/02/2013,1,1
Five Islands,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,08/19/2013,08/21/2013,2,1
Amherst Shore,NS,CANADA,4,,4,CampsitePermit,Senior,Less than 30ft,07/02/2013,07/03/2013,1,1
The Islands,NS,CANADA,6,,6,CampsitePermit,Full,Tents,08/10/2013,08/11/2013,1,1
Laurie,NS,CANADA,3,,3,CampsitePermit,Full,Single Tent,07/12/2013,07/13/2013,1,1
Caribou Munroes,NS,CANADA,3,0,3,CampsitePermit,Full,Tents,08/18/2013,08/19/2013,1,1
Blomidon,NS,CANADA,2,,2,CampsitePermit,Senior,Less than 30ft,06/19/2013,06/20/2013,1,1
Thomas Raddall,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,08/03/2013,08/05/2013,2,1
Caribou Munroes,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,08/19/2013,08/20/2013,1,1
Smileys,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,07/19/2013,07/21/2013,2,1
Caribou Munroes,NS,CANADA,2,2,4,CampsitePermit,Full,Less than 20ft,08/08/2013,08/11/2013,3,1
Mira River,NS,CANADA,4,1,5,CampsitePermit,Full,Tents,08/31/2013,09/02/2013,2,1
Caribou Munroes,NS,CANADA,3,,3,CampsitePermit,Full,Single Tent,07/05/2013,07/07/2013,2,1
Caribou Munroes,NS,CANADA,3,,3,CampsitePermit,Full,Single Tent,07/05/2013,07/07/2013,2,1
Blomidon,NS,CANADA,2,2,4,CampsitePermit,Full,Single Tent,08/25/2013,08/26/2013,1,1
The Islands,NS,CANADA,2,1,3,CampsitePermit,Full,Single Tent,08/03/2013,08/04/2013,1,1
Blomidon,NS,CANADA,1,2,3,CampsitePermit,Full,Less than 20ft,07/26/2013,07/27/2013,1,1
Rissers Beach,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,06/21/2013,06/23/2013,2,1
Whycocomagh,NS,CANADA,2,2,4,CampsitePermit,Full,Tents,07/27/2013,07/30/2013,3,1
Rissers Beach,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,08/16/2013,08/18/2013,2,1
Caribou Munroes,NS,CANADA,1,2,3,CampsitePermit,Full,Single Tent,08/05/2013,08/06/2013,1,1
Dollar Lake,NS,CANADA,2,1,3,CampsitePermit,Full,Tents,07/19/2013,07/21/2013,2,1
Rissers Beach,NS,CANADA,2,1,3,CampsitePermit,Full,Less than 20ft,08/22/2013,08/23/2013,1,1
Mira River,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,08/01/2013,08/05/2013,4,1
Battery,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,06/28/2013,06/29/2013,1,1
Cape Chignecto,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,05/19/2013,05/20/2013,1,1
Ellenwood Lake,NS,CANADA,2,1,3,CampsitePermit,Full,Less than 20ft,06/28/2013,07/02/2013,4,1
Thomas Raddall,NS,CANADA,2,,2,CampsitePermit,Full,Less than 30ft,08/15/2013,08/16/2013,1,1
Graves Island,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,09/21/2013,09/22/2013,1,1
Boylston,NS,CANADA,1,,1,CampsitePermit,Full,Less than 20ft,08/25/2013,08/26/2013,1,1
Blomidon,NS,CANADA,5,,5,CampsitePermit,Full,Single Tent,07/19/2013,07/21/2013,2,1
Blomidon,NS,CANADA,5,,5,CampsitePermit,Full,Single Tent,07/19/2013,07/21/2013,2,1
Graves Island,NS,CANADA,2,,2,CampsitePermit,Full,Less than 30ft,09/14/2013,09/16/2013,2,1
Mira River,NS,CANADA,3,3,6,CampsitePermit,Full,Less than 20ft,08/24/2013,08/26/2013,2,1
Dollar Lake,NS,CANADA,5,,5,CampsitePermit,Full,Single Tent,08/11/2013,08/12/2013,1,1
Dollar Lake,NS,CANADA,2,1,3,CampsitePermit,Full,Less than 30ft,06/21/2013,06/23/2013,2,1
Five Islands,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,06/21/2013,06/23/2013,2,1
Mira River,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,08/29/2013,09/02/2013,4,1
Porters Lake,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,06/05/2013,06/06/2013,1,1
Laurie,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,06/26/2013,06/27/2013,1,1
Blomidon,NS,CANADA,4,,4,CampsitePermit,Full,Tents,08/07/2013,08/09/2013,2,1
Blomidon,NS,CANADA,4,,4,CampsitePermit,Full,Tents,08/07/2013,08/09/2013,2,1
Whycocomagh,NS,CANADA,2,,2,CampsitePermit,Full,Tents,07/16/2013,07/17/2013,1,1
Cape Chignecto,NS,CANADA,5,,5,CampsitePermit,Full,Single Tent,06/27/2013,06/30/2013,3,1
Thomas Raddall,NS,CANADA,2,3,5,CampsitePermit,Full,Greater than 40ft,05/17/2013,05/20/2013,3,1
Ellenwood Lake,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,08/04/2013,08/05/2013,1,1
Whycocomagh,NS,CANADA,4,,4,CampsitePermit,Full,Less than 40ft,07/31/2013,08/03/2013,3,1
Thomas Raddall,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,08/16/2013,08/17/2013,1,1
Battery,NS,CANADA,4,2,6,CampsitePermit,Full,Less than 40ft,07/30/2013,08/02/2013,3,1
Cape Chignecto,NS,CANADA,2,1,3,CampsitePermit,Full,Single Tent,10/04/2013,10/06/2013,2,1
Thomas Raddall,NS,CANADA,2,1,3,CampsitePermit,Full,Single Tent,08/31/2013,09/02/2013,2,1
Rissers Beach,NS,CANADA,2,1,3,CampsitePermit,Full,Single Tent,08/16/2013,08/18/2013,2,1
Salsman,NS,CANADA,1,2,3,CampsitePermit,Full,Less than 20ft,07/13/2013,07/14/2013,1,1
Rissers Beach,NS,CANADA,2,,2,CampsitePermit,Senior,Less than 30ft,09/21/2013,09/22/2013,1,1
Thomas Raddall,NS,CANADA,3,,3,CampsitePermit,Full,Tents,08/05/2013,08/07/2013,2,1
Amherst Shore,NS,CANADA,1,,1,CampsitePermit,Full,Single Tent,07/23/2013,07/24/2013,1,1
Laurie,NS,CANADA,2,,2,CampsitePermit,Full,Less than 30ft,06/14/2013,06/16/2013,2,1
Whycocomagh,NS,CANADA,2,2,4,CampsitePermit,Full,Tents,08/17/2013,08/18/2013,1,1
Amherst Shore,NS,CANADA,2,,2,CampsitePermit,Senior,Single Tent,08/27/2013,08/28/2013,1,1
Rissers Beach,NS,CANADA,2,1,3,CampsitePermit,Full,Less than 20ft,09/06/2013,09/09/2013,3,1
Rissers Beach,NS,CANADA,2,2,4,CampsitePermit,Full,Less than 30ft,07/14/2013,07/15/2013,1,1
Cape Chignecto,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,05/18/2013,05/20/2013,2,1
Dollar Lake,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,08/18/2013,08/19/2013,1,1
Battery,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,07/06/2013,07/07/2013,1,1
Dollar Lake,NS,CANADA,1,5,6,CampsitePermit,Full,Single Tent,07/14/2013,07/15/2013,1,1
Porters Lake,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,07/07/2013,07/08/2013,1,1
Five Islands,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,09/10/2013,09/11/2013,1,1
Thomas Raddall,NS,CANADA,1,,1,CampsitePermit,Full,Single Tent,06/22/2013,06/23/2013,1,1
Caribou Munroes,NS,CANADA,1,,1,CampsitePermit,Full,Single Tent,07/09/2013,07/10/2013,1,1
Battery,NS,CANADA,2,,2,CampsitePermit,Senior,Less than 20ft,08/24/2013,08/25/2013,1,1
Graves Island,NS,CANADA,1,2,3,CampsitePermit,Full,Tents,08/13/2013,08/15/2013,2,1
Whycocomagh,NS,CANADA,2,,2,CampsitePermit,Senior,Less than 20ft,07/02/2013,07/03/2013,1,1
Battery,NS,CANADA,1,1,2,CampsitePermit,Full,Single Tent,07/13/2013,07/14/2013,1,1
Smileys,NS,CANADA,2,1,3,CampsitePermit,Full,Less than 40ft,08/30/2013,09/01/2013,2,1
Graves Island,NS,CANADA,4,,4,CampsitePermit,Full,Tents,08/17/2013,08/18/2013,1,1
Mira River,NS,CANADA,1,1,2,CampsitePermit,Full,Single Tent,08/30/2013,09/01/2013,2,1
Porters Lake,NS,CANADA,2,2,4,CampsitePermit,Full,Less than 20ft,06/28/2013,06/29/2013,1,1
Thomas Raddall,NS,CANADA,2,,2,CampsitePermit,Full,Less than 30ft,08/29/2013,09/02/2013,4,1
Five Islands,NS,CANADA,4,,4,CampsitePermit,Full,Less than 20ft,07/02/2013,07/03/2013,1,1
Amherst Shore,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,09/14/2013,09/15/2013,1,1
Blomidon,NS,CANADA,3,1,4,CampsitePermit,Full,Single Tent,06/26/2013,06/28/2013,2,1
Five Islands,NS,CANADA,3,3,6,CampsitePermit,Full,Tents,07/18/2013,07/20/2013,2,1
Dollar Lake,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,06/18/2013,06/19/2013,1,1
Whycocomagh,NS,CANADA,2,,2,CampsitePermit,Senior,Less than 30ft,08/15/2013,08/16/2013,1,1
Rissers Beach,NS,CANADA,2,4,6,CampsitePermit,Full,Less than 20ft,07/17/2013,07/19/2013,2,1
Mira River,NS,CANADA,2,2,4,CampsitePermit,Full,Less than 20ft,06/28/2013,07/01/2013,3,1
Five Islands,NS,CANADA,1,,1,CampsitePermit,Full,Single Tent,08/16/2013,08/17/2013,1,1
Porters Lake,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,08/26/2013,08/27/2013,1,1
Whycocomagh,NS,CANADA,2,3,5,CampsitePermit,Full,Single Tent,08/20/2013,08/25/2013,5,1
Blomidon,NS,CANADA,2,2,4,CampsitePermit,Full,Single Tent,05/29/2013,05/30/2013,1,1
Porters Lake,NS,CANADA,4,,4,CampsitePermit,Full,Tents,10/13/2013,10/14/2013,1,1
Rissers Beach,NS,CANADA,2,,2,CampsitePermit,Senior,Less than 20ft,10/11/2013,10/14/2013,3,1
Mira River,NS,CANADA,2,,2,CampsitePermit,Full,Less than 40ft,08/15/2013,08/17/2013,2,1
Porters Lake,NS,CANADA,3,,3,CampsitePermit,Full,Tents,07/27/2013,08/02/2013,6,1
Graves Island,NS,CANADA,2,,2,CampsitePermit,Senior,Less than 20ft,06/19/2013,06/20/2013,1,1
Rissers Beach,NS,CANADA,3,,3,CampsitePermit,Full,Single Tent,07/04/2013,07/05/2013,1,1
Caribou Munroes,NS,CANADA,2,2,4,CampsitePermit,Full,Less than 20ft,08/16/2013,08/18/2013,2,1
Blomidon,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,08/19/2013,08/20/2013,1,1
Battery,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,07/24/2013,07/26/2013,2,1
Smileys,NS,CANADA,2,1,3,CampsitePermit,Full,Less than 20ft,09/07/2013,09/08/2013,1,1
Porters Lake,NS,CANADA,2,2,4,CampsitePermit,Full,Less than 20ft,08/23/2013,08/25/2013,2,1
Blomidon,NS,CANADA,2,1,3,CampsitePermit,Full,Single Tent,08/03/2013,08/05/2013,2,1
Smileys,NS,CANADA,3,2,5,CampsitePermit,Full,Less than 30ft,08/25/2013,08/28/2013,3,1
Smileys,NS,CANADA,3,2,5,CampsitePermit,Full,Less than 30ft,08/25/2013,08/28/2013,3,1
Thomas Raddall,NS,CANADA,2,,2,CampsitePermit,Senior,Less than 30ft,09/29/2013,10/05/2013,6,1
Mira River,NS,CANADA,2,,2,CampsitePermit,Full,Less than 30ft,07/26/2013,07/28/2013,2,1
Smileys,NS,CANADA,2,,2,CampsitePermit,Full,Greater than 40ft,07/26/2013,07/28/2013,2,1
Porters Lake,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,06/22/2013,06/24/2013,2,1
Mira River,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,07/17/2013,07/18/2013,1,1
Dollar Lake,NS,CANADA,2,3,5,CampsitePermit,Full,Tents,07/19/2013,07/20/2013,1,1
Five Islands,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,08/18/2013,08/19/2013,1,1
Five Islands,NS,CANADA,2,2,4,CampsitePermit,Full,Single Tent,07/19/2013,07/21/2013,2,1
Whycocomagh,NS,CANADA,1,,1,CampsitePermit,Senior,Less than 20ft,07/03/2013,07/05/2013,2,1
Caribou Munroes,NS,CANADA,2,,2,CampsitePermit,Senior,Less than 30ft,08/13/2013,08/16/2013,3,1
Rissers Beach,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,08/13/2013,08/15/2013,2,1
Dollar Lake,NS,CANADA,2,2,4,CampsitePermit,Full,Single Tent,07/12/2013,07/14/2013,2,1
Ellenwood Lake,NS,CANADA,2,,2,CampsitePermit,Full,Less than 30ft,07/19/2013,07/21/2013,2,1
Thomas Raddall,NS,CANADA,2,,2,CampsitePermit,Full,Less than 30ft,09/17/2013,09/18/2013,1,1
Dollar Lake,NS,CANADA,3,,3,CampsitePermit,Full,Single Tent,07/06/2013,07/07/2013,1,1
Amherst Shore,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,08/11/2013,08/12/2013,1,1
Rissers Beach,NS,CANADA,4,,4,CampsitePermit,Full,Less than 20ft,08/02/2013,08/05/2013,3,1
Thomas Raddall,NS,CANADA,1,,1,CampsitePermit,Full,Less than 20ft,07/22/2013,07/23/2013,1,1
Smileys,NS,CANADA,2,,2,CampsitePermit,Full,Less than 30ft,09/10/2013,09/11/2013,1,1
Caribou Munroes,NS,CANADA,2,,2,CampsitePermit,Senior,Single Tent,07/28/2013,07/31/2013,3,1
Blomidon,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,07/26/2013,07/28/2013,2,1
Amherst Shore,NS,CANADA,2,,2,CampsitePermit,Full,Less than 30ft,08/01/2013,08/02/2013,1,1
Graves Island,NS,CANADA,2,,2,CampsitePermit,Full,Less than 30ft,08/09/2013,08/11/2013,2,1
Blomidon,NS,CANADA,2,,2,CampsitePermit,Full,Less than 30ft,08/02/2013,08/04/2013,2,1
Rissers Beach,NS,CANADA,2,2,4,CampsitePermit,Full,Single Tent,07/26/2013,07/28/2013,2,1
Dollar Lake,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,06/15/2013,06/16/2013,1,1
Rissers Beach,NS,CANADA,2,,2,CampsitePermit,Full,Less than 30ft,06/27/2013,06/29/2013,2,1
Caribou Munroes,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,07/22/2013,07/28/2013,6,1
Thomas Raddall,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,08/02/2013,08/05/2013,3,1
Five Islands,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,08/13/2013,08/16/2013,3,1
Blomidon,NS,CANADA,1,,1,CampsitePermit,Full,Single Tent,07/27/2013,07/29/2013,2,1
Caribou Munroes,NS,CANADA,2,1,3,CampsitePermit,Full,Single Tent,08/31/2013,09/01/2013,1,1
Blomidon,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,07/26/2013,07/27/2013,1,1
Laurie,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,06/19/2013,06/20/2013,1,1
Blomidon,NS,CANADA,3,,3,CampsitePermit,Full,Tents,07/06/2013,07/07/2013,1,1
Blomidon,NS,CANADA,3,,3,CampsitePermit,Full,Tents,07/06/2013,07/07/2013,1,1
Dollar Lake,NS,CANADA,2,1,3,CampsitePermit,Full,Single Tent,07/11/2013,07/13/2013,2,1
Caribou Munroes,NS,CANADA,2,,2,CampsitePermit,Senior,Less than 20ft,08/21/2013,08/22/2013,1,1
Caribou Munroes,NS,CANADA,2,,2,CampsitePermit,Senior,Less than 20ft,07/26/2013,07/27/2013,1,1
The Islands,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,08/24/2013,08/25/2013,1,1
Mira River,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,07/26/2013,07/27/2013,1,1
Smileys,NS,CANADA,2,3,5,CampsitePermit,Full,Tents,07/19/2013,07/21/2013,2,1
Mira River,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,06/21/2013,06/22/2013,1,1
Dollar Lake,NS,CANADA,3,3,6,CampsitePermit,Full,Single Tent,07/20/2013,07/22/2013,2,1
Graves Island,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,08/12/2013,08/15/2013,3,1
Rissers Beach,NS,CANADA,2,2,4,CampsitePermit,Senior,Less than 30ft,08/30/2013,09/02/2013,3,1
The Islands,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,07/26/2013,07/29/2013,3,1
Porters Lake,NS,CANADA,2,,2,CampsitePermit,Senior,Less than 20ft,09/08/2013,09/09/2013,1,1
Graves Island,NS,CANADA,2,,2,CampsitePermit,Senior,Less than 20ft,07/23/2013,07/24/2013,1,1
Caribou Munroes,NS,CANADA,2,2,4,CampsitePermit,Full,Single Tent,07/04/2013,07/05/2013,1,1
Mira River,NS,CANADA,3,4,7,CampsitePermit,Senior,Tents,08/20/2013,08/21/2013,1,1
Caribou Munroes,NS,CANADA,4,,4,CampsitePermit,Senior,Less than 20ft,07/04/2013,07/07/2013,3,1
Rissers Beach,NS,CANADA,3,2,5,CampsitePermit,Full,Less than 20ft,06/23/2013,06/28/2013,5,1
Blomidon,NS,CANADA,3,,3,CampsitePermit,Full,Single Tent,07/13/2013,07/14/2013,1,1
Smileys,NS,CANADA,2,4,6,CampsitePermit,Full,Tents,08/26/2013,08/28/2013,2,1
Caribou Munroes,NS,CANADA,6,1,7,CampsitePermit,Full,Less than 20ft,09/06/2013,09/08/2013,2,1
Dollar Lake,NS,CANADA,1,3,4,CampsitePermit,Full,Single Tent,08/14/2013,08/16/2013,2,1
Rissers Beach,NS,CANADA,2,2,4,CampsitePermit,Full,Single Tent,07/28/2013,07/30/2013,2,1
Graves Island,NS,CANADA,2,,2,CampsitePermit,Senior,Less than 20ft,08/05/2013,08/06/2013,1,1
Amherst Shore,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,07/19/2013,07/21/2013,2,1
Laurie,NS,CANADA,1,2,3,CampsitePermit,Full,Single Tent,06/24/2013,06/27/2013,3,1
Smileys,NS,CANADA,4,,4,CampsitePermit,Full,Tents,07/06/2013,07/07/2013,1,1
Rissers Beach,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,08/20/2013,08/21/2013,1,1
Blomidon,NS,CANADA,5,,5,CampsitePermit,Full,Less than 30ft,08/31/2013,09/02/2013,2,1
Ellenwood Lake,NS,CANADA,2,1,3,CampsitePermit,Full,Tents,08/30/2013,08/31/2013,1,1
Laurie,NS,CANADA,2,,2,CampsitePermit,Full,Less than 30ft,07/05/2013,07/06/2013,1,1
Rissers Beach,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,08/23/2013,09/06/2013,14,1
Five Islands,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,09/16/2013,09/17/2013,1,1
Dollar Lake,NS,CANADA,4,2,6,CampsitePermit,Full,Less than 20ft,07/22/2013,07/23/2013,1,1
Battery,NS,CANADA,2,,2,CampsitePermit,Senior,Single Tent,07/08/2013,07/09/2013,1,1
Mira River,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,07/12/2013,07/14/2013,2,1
Mira River,NS,CANADA,2,2,4,CampsitePermit,Full,Single Tent,07/06/2013,07/09/2013,3,1
Mira River,NS,CANADA,2,2,4,CampsitePermit,Full,Single Tent,07/06/2013,07/09/2013,3,1
Mira River,NS,CANADA,2,2,4,CampsitePermit,Full,Single Tent,07/06/2013,07/09/2013,3,1
Blomidon,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,08/23/2013,08/25/2013,2,1
Laurie,NS,CANADA,3,1,4,CampsitePermit,Full,Less than 20ft,08/23/2013,08/28/2013,5,1
Five Islands,NS,CANADA,2,,2,CampsitePermit,Senior,Less than 20ft,06/30/2013,07/02/2013,2,1
Whycocomagh,NS,CANADA,2,2,4,CampsitePermit,Full,Single Tent,08/09/2013,08/12/2013,3,1
Mira River,NS,CANADA,3,,3,CampsitePermit,Full,Less than 30ft,08/30/2013,09/02/2013,3,1
Ellenwood Lake,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,07/03/2013,07/05/2013,2,1
Dollar Lake,NS,CANADA,2,2,4,CampsitePermit,Full,Single Tent,08/07/2013,08/09/2013,2,1
Battery,NS,CANADA,2,2,4,CampsitePermit,Full,Less than 20ft,07/26/2013,07/28/2013,2,1
Blomidon,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,08/09/2013,08/11/2013,2,1
Thomas Raddall,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,08/26/2013,08/29/2013,3,1
Rissers Beach,NS,CANADA,2,1,3,CampsitePermit,Full,Single Tent,08/16/2013,08/18/2013,2,1
Rissers Beach,NS,CANADA,2,1,3,CampsitePermit,Full,Less than 30ft,09/13/2013,09/15/2013,2,1
Rissers Beach,NS,CANADA,4,,4,CampsitePermit,Full,Less than 20ft,09/10/2013,09/11/2013,1,1
Caribou Munroes,NS,CANADA,2,2,4,CampsitePermit,Senior,Less than 20ft,08/15/2013,08/17/2013,2,1
Boylston,NS,CANADA,1,,1,CampsitePermit,Full,Less than 20ft,08/17/2013,08/18/2013,1,1
Caribou Munroes,NS,CANADA,2,1,3,CampsitePermit,Full,Less than 20ft,07/12/2013,07/14/2013,2,1
Smileys,NS,CANADA,4,,4,CampsitePermit,Full,Tents,07/05/2013,07/07/2013,2,1
Cape Chignecto,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,05/18/2013,05/19/2013,1,1
Blomidon,NS,CANADA,2,1,3,CampsitePermit,Full,Less than 30ft,05/28/2013,05/29/2013,1,1
Porters Lake,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,07/29/2013,08/02/2013,4,1
Porters Lake,NS,CANADA,2,,2,CampsitePermit,Full,Tents,09/10/2013,09/12/2013,2,1
Rissers Beach,NS,CANADA,2,1,3,CampsitePermit,Full,Less than 20ft,08/17/2013,08/18/2013,1,1
Blomidon,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,05/27/2013,05/28/2013,1,1
Smileys,NS,CANADA,2,2,4,CampsitePermit,Full,Single Tent,08/22/2013,08/26/2013,4,1
Ellenwood Lake,NS,CANADA,2,5,7,CampsitePermit,Full,Less than 20ft,07/31/2013,08/02/2013,2,1
Smileys,NS,CANADA,2,1,3,CampsitePermit,Full,Less than 30ft,08/23/2013,08/25/2013,2,1
Smileys,NS,CANADA,2,1,3,CampsitePermit,Full,Less than 30ft,08/23/2013,08/25/2013,2,1
Thomas Raddall,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,07/06/2013,07/07/2013,1,1
Five Islands,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,09/11/2013,09/15/2013,4,1
Blomidon,NS,CANADA,2,,2,CampsitePermit,Full,Less than 30ft,08/30/2013,09/02/2013,3,1
