Park ID,State,Country,Adult,Child,PartySize,BookingType,RateType,Equipment,BookingStartDate,BookingEndDate,Camper Nights,Permits
Caribou Munroes,NS,Canada,2,,2,CampsitePermit,Senior,Less than 30ft,07/29/2012,07/30/2012,1,1
Mira River,NS,Canada,2,,2,CampsitePermit,Full,Less than 30ft,08/06/2012,08/09/2012,3,1
Blomidon,IN,USA,3,,3,CampsitePermit,Full,Tents,06/01/2012,06/03/2012,2,1
Porters Lake,NB,Canada,2,,2,CampsitePermit,Full,Less than 20ft,08/24/2012,08/26/2012,2,1
Smileys,NS,Canada,2,1,3,CampsitePermit,Full,Less than 30ft,07/06/2012,07/08/2012,2,1
Battery,NS,Canada,2,1,3,CampsitePermit,Full,Single Tent,08/09/2012,08/10/2012,1,1
Graves Island,NS,Canada,2,,2,CampsitePermit,Full,Less than 30ft,07/13/2012,07/15/2012,2,1
Caribou Munroes,QC,Canada,2,,2,CampsitePermit,Full,Single Tent,07/11/2012,07/12/2012,1,1
Porters Lake,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,07/06/2012,07/08/2012,2,1
Smileys,NS,Canada,2,2,4,CampsitePermit,Full,Less than 30ft,08/11/2012,08/13/2012,2,1
Mira River,ON,Canada,2,,2,CampsitePermit,Senior,Less than 20ft,08/29/2012,08/31/2012,2,1
Dollar Lake,PE,Canada,2,,2,CampsitePermit,Full,Single Tent,08/24/2012,08/26/2012,2,1
Smileys,NS,Canada,4,,4,CampsitePermit,Full,Less than 30ft,07/06/2012,07/08/2012,2,1
Porters Lake,QC,Canada,2,,2,CampsitePermit,Full,Less than 20ft,07/28/2012,07/30/2012,2,1
Five Islands,NS,Canada,2,1,3,CampsitePermit,Full,Single Tent,08/11/2012,08/13/2012,2,1
Caribou Munroes,GERMANY,Other,2,1,3,CampsitePermit,Full,Less than 20ft,10/07/2012,10/08/2012,1,1
Dollar Lake,NS,Canada,2,3,5,CampsitePermit,Full,Tents,08/29/2012,08/31/2012,2,1
Mira River,NS,Canada,2,2,4,CampsitePermit,Full,Less than 40ft,08/27/2012,08/31/2012,4,1
Porters Lake,IN,USA,2,,2,CampsitePermit,Senior,Less than 20ft,09/02/2012,09/03/2012,1,1
Thomas Raddall,NS,Canada,1,3,4,CampsitePermit,Full,Single Tent,08/20/2012,08/21/2012,1,1
Ellenwood Lake,NS,Canada,2,,2,CampsitePermit,Full,Less than 20ft,07/13/2012,07/15/2012,2,1
Caribou Munroes,NS,Canada,2,3,5,CampsitePermit,Full,Single Tent,08/08/2012,08/10/2012,2,1
Thomas Raddall,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,07/13/2012,07/14/2012,1,1
Rissers Beach,NS,Canada,2,,2,CampsitePermit,Full,Less than 30ft,09/28/2012,09/30/2012,2,1
Graves Island,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,09/03/2012,09/04/2012,1,1
Five Islands,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,07/01/2012,07/02/2012,1,1
Graves Island,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,05/19/2012,05/21/2012,2,1
Ellenwood Lake,NS,Canada,2,,2,CampsitePermit,Senior,Less than 30ft,08/24/2012,08/26/2012,2,1
Five Islands,ON,Canada,1,,1,CampsitePermit,Full,Single Tent,09/08/2012,09/09/2012,1,1
Amherst Shore,ON,Canada,2,,2,CampsitePermit,Full,Less than 30ft,08/30/2012,08/31/2012,1,1
Laurie,NS,Canada,1,,1,CampsitePermit,Full,Single Tent,08/08/2012,08/12/2012,4,1
Ellenwood Lake,NS,Canada,2,2,4,CampsitePermit,Full,Less than 30ft,06/08/2012,06/10/2012,2,1
Amherst Shore,NS,Canada,1,,1,CampsitePermit,Full,Single Tent,07/20/2012,07/22/2012,2,1
Blomidon,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,07/20/2012,07/22/2012,2,1
Rissers Beach,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,05/18/2012,05/21/2012,3,1
Rissers Beach,NS,Canada,2,2,4,CampsitePermit,Full,Single Tent,08/26/2012,08/28/2012,2,1
Five Islands,NS,Canada,1,1,2,CampsitePermit,Full,Single Tent,08/10/2012,08/12/2012,2,1
Dollar Lake,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,08/17/2012,08/19/2012,2,1
Graves Island,NS,Canada,2,,2,CampsitePermit,Full,Less than 20ft,08/31/2012,09/02/2012,2,1
Rissers Beach,NS,Canada,2,2,4,CampsitePermit,Full,Less than 20ft,06/29/2012,07/03/2012,4,1
Rissers Beach,NS,Canada,2,,2,CampsitePermit,Full,Less than 20ft,08/20/2012,08/21/2012,1,1
Caribou Munroes,NS,Canada,2,,2,CampsitePermit,Full,Less than 30ft,08/19/2012,08/20/2012,1,1
Rissers Beach,NS,Canada,1,1,2,CampsitePermit,Full,Single Tent,07/30/2012,07/31/2012,1,1
Ellenwood Lake,NS,Canada,2,2,4,CampsitePermit,Full,Tents,09/01/2012,09/03/2012,2,1
Porters Lake,NB,Canada,2,,2,CampsitePermit,Full,Single Tent,06/15/2012,06/17/2012,2,1
Ellenwood Lake,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,07/22/2012,07/23/2012,1,1
Whycocomagh,ON,Canada,2,,2,CampsitePermit,Full,Single Tent,08/29/2012,08/30/2012,1,1
Amherst Shore,MB,Canada,2,,2,CampsitePermit,Full,Less than 30ft,07/22/2012,07/23/2012,1,1
Porters Lake,NS,Canada,2,,2,CampsitePermit,Full,Less than 30ft,10/04/2012,10/08/2012,4,1
Battery,NS,Canada,2,,2,CampsitePermit,Senior,Less than 20ft,08/25/2012,08/26/2012,1,1
Five Islands,NB,Canada,1,,1,CampsitePermit,Full,Single Tent,07/11/2012,07/12/2012,1,1
