Park,State,Country,Adult,Children,partySize,Booking type,RateType,Equipment,BookingStartDate,BookingEnddate,Camper Nights,Permit
Cape Chignecto,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,05/17/2015,05/18/2015,1,1
The Islands,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,07/16/2015,07/20/2015,4,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,06/30/2015,07/03/2015,3,1
Dollar Lake,AB ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,10/10/2015,10/12/2015,2,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,09/18/2015,09/20/2015,2,1
Five Islands,NS ,CANADA ,2,3,5,CampsitePermit,Senior,Single Tent,07/10/2015,07/12/2015,2,1
Five Islands,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/03/2015,07/05/2015,2,1
Caribou Munroes,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,07/03/2015,07/05/2015,2,1
Graves Island,QC ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/02/2015,08/06/2015,4,1
Whycocomagh,ON ,CANADA ,2,3,5,CampsitePermit,Full,Less than 20ft,07/25/2015,07/26/2015,1,1
Mira River,NS ,CANADA ,2,3,5,CampsitePermit,Full,Less than 30ft,07/10/2015,07/12/2015,2,1
Ellenwood Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,09/04/2015,09/07/2015,3,1
Dollar Lake,NS ,CANADA ,2,3,5,CampsitePermit,Full,Less than 20ft,07/24/2015,07/26/2015,2,1
Five Islands,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,07/16/2015,07/19/2015,3,1
Smileys,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,07/15/2015,07/18/2015,3,1
Five Islands,ON ,CANADA ,3,,3,CampsitePermit,Full,Single Tent,08/03/2015,08/04/2015,1,1
Porters Lake,NS ,CANADA ,6,,6,CampsitePermit,Full,Single Tent,07/03/2015,07/05/2015,2,1
Graves Island,GERMANY ,OTHER,3,,3,CampsitePermit,Full,Less than 30ft,07/06/2015,07/08/2015,2,1
Graves Island,GERMANY ,OTHER,2,,2,CampsitePermit,Full,Less than 30ft,06/24/2015,06/26/2015,2,1
Graves Island,NH ,USA ,2,2,4,CampsitePermit,Full,Less than 20ft,07/30/2015,07/31/2015,1,1
Dollar Lake,NS ,CANADA ,2,4,6,CampsitePermit,Full,Tents,07/16/2015,07/18/2015,2,1
Graves Island,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,08/07/2015,08/09/2015,2,1
Porters Lake,QC ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/14/2015,07/19/2015,5,1
Blomidon,BELGIUM ,OTHER,2,2,4,CampsitePermit,Full,Less than 20ft,06/21/2015,06/22/2015,1,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,09/15/2015,09/18/2015,3,1
Cape Chignecto,NS ,CANADA ,4,,4,CampsitePermit,Full,Tents,06/06/2015,06/07/2015,1,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/14/2015,08/16/2015,2,1
Amherst Shore,ON ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,09/06/2015,09/07/2015,1,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,07/19/2015,07/21/2015,2,1
Blomidon,ON ,CANADA ,2,,2,CampsitePermit,Senior,Single Tent,08/17/2015,08/20/2015,3,1
Battery,NS ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,08/06/2015,08/07/2015,1,1
Caribou Munroes,OH ,USA ,2,,2,CampsitePermit,Full,Single Tent,08/17/2015,08/18/2015,1,1
Valleyview,NS ,CANADA ,2,,2,CampsitePermit,Host,Less than 40ft,07/20/2015,08/09/2015,20,1
Whycocomagh,ON ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,09/14/2015,09/15/2015,1,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,06/25/2015,06/26/2015,1,1
The Islands,AZ ,USA ,2,,2,CampsitePermit,Full,Less than 30ft,09/20/2015,09/21/2015,1,1
Rissers Beach,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,08/30/2015,09/01/2015,2,1
Mira River,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,07/13/2015,07/15/2015,2,1
Valleyview,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/07/2015,08/08/2015,1,1
Rissers Beach,NS ,CANADA ,4,2,6,CampsitePermit,Full,Less than 30ft,07/07/2015,07/09/2015,2,1
Thomas Raddall,ON ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,08/15/2015,08/16/2015,1,1
Whycocomagh,WI ,USA ,2,,2,CampsitePermit,Senior,Single Tent,09/19/2015,09/20/2015,1,1
Blomidon,NS ,CANADA ,4,,4,CampsitePermit,Full,Tents,08/29/2015,08/30/2015,1,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/02/2015,08/03/2015,1,1
Porters Lake,QC ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,07/24/2015,07/25/2015,1,1
Amherst Shore,NB ,CANADA ,2,3,5,CampsitePermit,Full,Less than 20ft,07/17/2015,07/19/2015,2,1
Five Islands,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,09/05/2015,09/07/2015,2,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,09/05/2015,09/06/2015,1,1
Ellenwood Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/14/2015,07/15/2015,1,1
Battery,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/07/2015,08/08/2015,1,1
Mira River,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,06/12/2015,06/14/2015,2,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 40ft,09/21/2015,09/24/2015,3,1
Mira River,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,07/03/2015,07/05/2015,2,1
Thomas Raddall,NS ,CANADA ,6,,6,CampsitePermit,Full,Tents,09/05/2015,09/07/2015,2,1
Laurie,ON ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,07/06/2015,07/08/2015,2,1
Rissers Beach,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 30ft,09/04/2015,09/07/2015,3,1
Rissers Beach,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,07/15/2015,07/17/2015,2,1
Caribou Munroes,POLAND ,OTHER,2,,2,CampsitePermit,Senior,Single Tent,07/18/2015,07/19/2015,1,1
Smileys,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,08/14/2015,08/15/2015,1,1
Graves Island,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 30ft,05/15/2015,05/18/2015,3,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/11/2015,07/15/2015,4,1
Cape Chignecto,BC ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,09/05/2015,09/06/2015,1,1
Porters Lake,NS ,CANADA ,2,3,5,CampsitePermit,Full,Less than 20ft,07/14/2015,07/19/2015,5,1
Amherst Shore,NB ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,07/17/2015,07/19/2015,2,1
Five Islands,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/21/2015,08/22/2015,1,1
Laurie,NS ,CANADA ,1,3,4,CampsitePermit,Full,Single Tent,08/15/2015,08/16/2015,1,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/25/2015,08/27/2015,2,1
Porters Lake,NS ,CANADA ,1,,1,CampsitePermit,Full,Less than 30ft,05/25/2015,05/26/2015,1,1
Graves Island,NS ,CANADA ,4,,4,CampsitePermit,Full,Less than 30ft,10/09/2015,10/12/2015,3,1
Whycocomagh,QC ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,09/02/2015,09/04/2015,2,1
Rissers Beach,NS ,CANADA ,1,2,3,CampsitePermit,Full,Less than 20ft,07/25/2015,07/26/2015,1,1
Blomidon,NS ,CANADA ,3,,3,CampsitePermit,Full,Tents,06/26/2015,06/28/2015,2,1
Five Islands,BC ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,09/29/2015,09/30/2015,1,1
Amherst Shore,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/10/2015,08/11/2015,1,1
Mira River,ON ,CANADA ,2,2,4,CampsitePermit,Full,Tents,08/04/2015,08/11/2015,7,1
Thomas Raddall,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,06/10/2015,06/11/2015,1,1
Porters Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/21/2015,08/23/2015,2,1
Mira River,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,07/30/2015,08/03/2015,4,1
Amherst Shore,NB ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,08/28/2015,09/07/2015,10,1
Caribou Munroes,QC ,CANADA ,1,1,2,CampsitePermit,Full,Single Tent,08/01/2015,08/02/2015,1,1
Graves Island,ON ,CANADA ,3,,3,CampsitePermit,Senior,Less than 30ft,08/08/2015,08/12/2015,4,1
Laurie,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,08/28/2015,08/30/2015,2,1
Thomas Raddall,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,05/15/2015,05/18/2015,3,1
Smileys,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,07/17/2015,07/19/2015,2,1
Dollar Lake,NS ,CANADA ,2,4,6,CampsitePermit,Full,Less than 20ft,08/13/2015,08/16/2015,3,1
Smileys,NS ,CANADA ,4,,4,CampsitePermit,Full,Tents,07/25/2015,07/26/2015,1,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/25/2015,07/27/2015,2,1
Valleyview,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 40ft,06/12/2015,06/14/2015,2,1
Porters Lake,ON ,CANADA ,1,1,2,CampsitePermit,Full,Single Tent,07/06/2015,07/12/2015,6,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/30/2015,08/31/2015,1,1
Five Islands,NB ,CANADA ,4,1,5,CampsitePermit,Full,Tents,07/06/2015,07/08/2015,2,1
Caribou Munroes,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 30ft,07/07/2015,07/10/2015,3,1
Graves Island,AB ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,09/03/2015,09/05/2015,2,1
Graves Island,NS ,CANADA ,4,2,6,CampsitePermit,Senior,Tents,07/17/2015,07/19/2015,2,1
Blomidon,NS ,CANADA ,2,3,5,CampsitePermit,Full,Single Tent,05/16/2015,05/17/2015,1,1
Valleyview,NS ,CANADA ,2,,2,CampsitePermit,Full,Tents,08/31/2015,09/01/2015,1,1
Cape Chignecto,QC ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/24/2015,07/26/2015,2,1
Mira River,ON ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/10/2015,08/11/2015,1,1
Smileys,PE ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,08/02/2015,08/05/2015,3,1
Thomas Raddall,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/18/2015,08/19/2015,1,1
Smileys,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/28/2015,08/29/2015,1,1
Caribou Munroes,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/28/2015,08/30/2015,2,1
Laurie,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,07/06/2015,07/13/2015,7,1
Porters Lake,NS ,CANADA ,5,1,6,CampsitePermit,Full,Less than 40ft,09/10/2015,09/11/2015,1,1
Smileys,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/07/2015,08/09/2015,2,1
Porters Lake,NB ,CANADA ,6,,6,CampsitePermit,Full,Tents,08/01/2015,08/03/2015,2,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 40ft,05/22/2015,05/24/2015,2,1
Smileys,NS ,CANADA ,3,2,5,CampsitePermit,Full,Tents,08/02/2015,08/03/2015,1,1
Laurie,NS ,CANADA ,2,4,6,CampsitePermit,Full,Less than 20ft,08/16/2015,08/17/2015,1,1
Ellenwood Lake,NS ,CANADA ,2,,2,CampsitePermit,Senior,Single Tent,08/06/2015,08/09/2015,3,1
Caribou Munroes,QC ,CANADA ,2,,2,CampsitePermit,Senior,Single Tent,09/05/2015,09/06/2015,1,1
Blomidon,NS ,CANADA ,1,1,2,CampsitePermit,Full,Single Tent,05/15/2015,05/16/2015,1,1
Ellenwood Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,07/16/2015,07/19/2015,3,1
Mira River,NS ,CANADA ,1,3,4,CampsitePermit,Full,Single Tent,06/30/2015,07/02/2015,2,1
Amherst Shore,NS ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,07/16/2015,07/17/2015,1,1
Thomas Raddall,NS ,CANADA ,3,1,4,CampsitePermit,Full,Tents,06/30/2015,07/01/2015,1,1
Porters Lake,NS ,CANADA ,3,1,4,CampsitePermit,Full,Less than 20ft,05/15/2015,05/17/2015,2,1
Smileys,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 30ft,09/04/2015,09/06/2015,2,1
Graves Island,PE ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,06/19/2015,06/20/2015,1,1
Ellenwood Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/04/2015,08/09/2015,5,1
Mira River,NS ,CANADA ,4,1,5,CampsitePermit,Full,Single Tent,07/01/2015,07/03/2015,2,1
Mira River,NS ,CANADA ,5,,5,CampsitePermit,Full,Single Tent,08/29/2015,08/30/2015,1,1
Mira River,QC ,CANADA ,2,3,5,CampsitePermit,Full,Less than 30ft,08/03/2015,08/04/2015,1,1
Caribou Munroes,NS ,CANADA ,1,2,3,CampsitePermit,Full,Less than 20ft,09/07/2015,09/11/2015,4,1
Caribou Munroes,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,07/30/2015,07/31/2015,1,1
Caribou Munroes,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/09/2015,08/14/2015,5,1
Mira River,ON ,CANADA ,2,,2,CampsitePermit,Full,Greater than 40ft,08/18/2015,08/20/2015,2,1
Blomidon,QC ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/04/2015,08/05/2015,1,1
Blomidon,QC ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/03/2015,08/04/2015,1,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,09/08/2015,09/11/2015,3,1
Caribou Munroes,NS ,CANADA ,3,,3,CampsitePermit,Full,Tents,07/24/2015,07/26/2015,2,1
Mira River,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,07/22/2015,07/26/2015,4,1
Caribou Munroes,NS ,CANADA ,4,3,7,CampsitePermit,Full,Tents,08/01/2015,08/04/2015,3,1
Dollar Lake,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,07/31/2015,08/01/2015,1,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/28/2015,08/30/2015,2,1
Dollar Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/04/2015,07/05/2015,1,1
Caribou Munroes,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,09/04/2015,09/07/2015,3,1
Valleyview,NS ,CANADA ,4,,4,CampsitePermit,Full,Single Tent,09/18/2015,09/19/2015,1,1
Porters Lake,NS ,CANADA ,4,,4,CampsitePermit,Full,Tents,06/27/2015,06/28/2015,1,1
Cape Chignecto,NS ,CANADA ,4,,4,CampsitePermit,Full,Single Tent,05/16/2015,05/17/2015,1,1
Whycocomagh,NB ,CANADA ,3,,3,CampsitePermit,Senior,Single Tent,07/30/2015,07/31/2015,1,1
Mira River,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,08/21/2015,08/22/2015,1,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,09/08/2015,09/10/2015,2,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,09/04/2015,09/05/2015,1,1
Thomas Raddall,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,09/04/2015,09/07/2015,3,1
Caribou Munroes,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,08/13/2015,08/16/2015,3,1
Thomas Raddall,MA ,USA ,2,,2,CampsitePermit,Full,Single Tent,08/16/2015,08/23/2015,7,1
Porters Lake,QC ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,07/16/2015,07/18/2015,2,1
Caribou Munroes,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,07/06/2015,07/08/2015,2,1
The Islands,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,09/04/2015,09/07/2015,3,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/29/2015,09/01/2015,3,1
Graves Island,TX ,USA ,2,,2,CampsitePermit,Full,Less than 40ft,08/05/2015,08/10/2015,5,1
Graves Island,NS ,CANADA ,3,11,14,CampsitePermit,Full,Tents,06/12/2015,06/14/2015,2,1
Blomidon,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,09/05/2015,09/07/2015,2,1
Porters Lake,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 30ft,10/09/2015,10/12/2015,3,1
Ellenwood Lake,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,08/18/2015,08/19/2015,1,1
The Islands,AB ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,09/11/2015,09/12/2015,1,1
Cape Chignecto,ON ,CANADA ,2,,2,CampsitePermit,Full,Tents,09/22/2015,09/23/2015,1,1
Thomas Raddall,NS ,CANADA ,4,1,5,CampsitePermit,Full,Tents,09/04/2015,09/06/2015,2,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 40ft,07/13/2015,07/16/2015,3,1
Dollar Lake,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 20ft,09/04/2015,09/06/2015,2,1
Porters Lake,QC ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,07/01/2015,07/03/2015,2,1
Five Islands,NB ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/15/2015,08/17/2015,2,1
Mira River,NS ,CANADA ,2,3,5,CampsitePermit,Full,Less than 30ft,08/21/2015,08/23/2015,2,1
Caribou Munroes,NB ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,09/07/2015,09/08/2015,1,1
Rissers Beach,ON ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/30/2015,09/01/2015,2,1
Dollar Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,06/12/2015,06/14/2015,2,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,07/10/2015,07/12/2015,2,1
Amherst Shore,NS ,CANADA ,1,3,4,CampsitePermit,Full,Single Tent,08/08/2015,08/09/2015,1,1
Graves Island,NS ,CANADA ,1,2,3,CampsitePermit,Full,Single Tent,08/02/2015,08/04/2015,2,1
Valleyview,NS ,CANADA ,4,,4,CampsitePermit,Senior,Less than 20ft,08/09/2015,08/10/2015,1,1
Rissers Beach,NS ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,07/06/2015,07/08/2015,2,1
Dollar Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/17/2015,07/18/2015,1,1
Battery,BC ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,07/24/2015,07/25/2015,1,1
Caribou Munroes,NS ,CANADA ,2,,2,CampsitePermit,Full,Tents,08/26/2015,08/27/2015,1,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Tents,09/04/2015,09/07/2015,3,1
Rissers Beach,GERMANY ,OTHER,4,,4,CampsitePermit,Full,Less than 30ft,08/10/2015,08/11/2015,1,1
Porters Lake,NS ,CANADA ,1,2,3,CampsitePermit,Full,Single Tent,08/14/2015,08/16/2015,2,1
Rissers Beach,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,06/30/2015,07/05/2015,5,1
Rissers Beach,NS ,CANADA ,2,3,2,CampsitePermit,Full,Single Tent,07/10/2015,07/12/2015,,
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 40ft,10/09/2015,10/12/2015,3,1
The Islands,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,09/06/2015,09/07/2015,1,1
Mira River,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,07/03/2015,07/05/2015,2,1
Mira River,SC ,USA ,2,,2,CampsitePermit,Senior,Less than 20ft,07/04/2015,07/05/2015,1,1
Rissers Beach,GERMANY ,OTHER,2,,2,CampsitePermit,Full,Less than 30ft,09/03/2015,09/04/2015,1,1
Thomas Raddall,NS ,CANADA ,2,,2,CampsitePermit,Full,Tents,08/14/2015,08/16/2015,2,1
Thomas Raddall,MA ,USA ,1,,1,CampsitePermit,Full,Single Tent,09/26/2015,09/27/2015,1,1
Thomas Raddall,QC ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,08/03/2015,08/04/2015,1,1
Valleyview,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,07/31/2015,08/02/2015,2,1
Smileys,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,07/10/2015,07/12/2015,2,1
Laurie,UK,OTHER,2,2,4,CampsitePermit,Full,Less than 30ft,07/29/2015,07/30/2015,1,1
Dollar Lake,NS ,CANADA ,2,1,3,CampsitePermit,Full,Tents,07/03/2015,07/05/2015,2,1
Porters Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,10/10/2015,10/12/2015,2,1
Dollar Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Tents,07/31/2015,08/02/2015,2,1
Blomidon,NS ,CANADA ,2,3,5,CampsitePermit,Full,Single Tent,06/12/2015,06/14/2015,2,1
Cape Chignecto,NS ,CANADA ,2,1,3,CampsitePermit,Full,Tents,08/21/2015,08/23/2015,2,1
Whycocomagh,NL ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,08/07/2015,08/08/2015,1,1
Graves Island,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 20ft,08/28/2015,08/30/2015,2,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/14/2015,07/16/2015,2,1
Dollar Lake,BC ,CANADA ,1,,1,CampsitePermit,Senior,Single Tent,07/26/2015,07/27/2015,1,1
Thomas Raddall,NS ,CANADA ,2,3,5,CampsitePermit,Full,Less than 40ft,07/30/2015,08/03/2015,4,1
Caribou Munroes,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,09/07/2015,09/08/2015,1,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,09/15/2015,09/16/2015,1,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/02/2015,07/03/2015,1,1
Dollar Lake,NS ,CANADA ,5,1,6,CampsitePermit,Full,Tents,07/17/2015,07/18/2015,1,1
Mira River,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 40ft,08/24/2015,08/28/2015,4,1
Mira River,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 40ft,07/03/2015,07/05/2015,2,1
Rissers Beach,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,06/12/2015,06/14/2015,2,1
The Islands,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,06/25/2015,06/27/2015,2,1
Graves Island,NS ,CANADA ,2,4,6,CampsitePermit,Full,Tents,08/01/2015,08/03/2015,2,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/16/2015,07/17/2015,1,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,05/15/2015,05/18/2015,3,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,07/10/2015,07/13/2015,3,1
Porters Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,06/19/2015,06/21/2015,2,1
Whycocomagh,ON ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/06/2015,07/07/2015,1,1
Graves Island,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,08/14/2015,08/16/2015,2,1
Battery,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,08/31/2015,09/01/2015,1,1
Caribou Munroes,NS ,CANADA ,2,1,3,CampsitePermit,Full,Tents,08/28/2015,08/31/2015,3,1
Porters Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/04/2015,08/06/2015,2,1
Caribou Munroes,MN ,USA ,2,,2,CampsitePermit,Senior,Less than 30ft,09/27/2015,09/28/2015,1,1
Porters Lake,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 20ft,07/17/2015,07/19/2015,2,1
Five Islands,QC ,CANADA ,1,,1,CampsitePermit,Full,Less than 20ft,08/24/2015,08/26/2015,2,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,06/30/2015,07/06/2015,6,1
Dollar Lake,NS ,CANADA ,3,,3,CampsitePermit,Full,Less than 20ft,06/26/2015,06/28/2015,2,1
Dollar Lake,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,08/18/2015,08/21/2015,3,1
Laurie,NS ,CANADA ,3,,3,CampsitePermit,Full,Single Tent,08/20/2015,08/21/2015,1,1
Thomas Raddall,DE ,USA ,2,,2,CampsitePermit,Full,Single Tent,09/29/2015,09/30/2015,1,1
Five Islands,ON ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,07/04/2015,07/07/2015,3,1
Cape Chignecto,NS ,CANADA ,6,,6,CampsitePermit,Full,Tents,10/09/2015,10/12/2015,3,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/06/2015,07/10/2015,4,1
Ellenwood Lake,NS ,CANADA ,2,,2,CampsitePermit,Senior,Single Tent,08/21/2015,08/22/2015,1,1
Five Islands,NY ,USA ,2,,2,CampsitePermit,Full,Single Tent,08/17/2015,08/18/2015,1,1
Whycocomagh,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,07/06/2015,07/07/2015,1,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 40ft,06/27/2015,07/05/2015,8,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 40ft,09/02/2015,09/07/2015,5,1
Cape Chignecto,NS ,CANADA ,3,,3,CampsitePermit,Full,Single Tent,09/19/2015,09/21/2015,2,1
Laurie,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/20/2015,07/25/2015,5,1
Amherst Shore,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,06/19/2015,06/21/2015,2,1
Dollar Lake,GERMANY ,OTHER,2,,2,CampsitePermit,Full,Less than 20ft,06/14/2015,06/15/2015,1,1
