Park,State,Country,Adult,Children,partySize,Booking type,RateType,Equipment,BookingStartDate,BookingEnddate,Camper Nights,Permit
Thomas Raddall,NS ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,05/18/2015,05/19/2015,1,1
Boylston,NS ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,08/11/2015,08/14/2015,3,1
The Islands,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/01/2015,08/03/2015,2,1
Caribou Munroes,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 40ft,09/25/2015,09/27/2015,2,1
Mira River,NS ,CANADA ,3,,3,CampsitePermit,Full,Single Tent,07/03/2015,07/05/2015,2,1
Ellenwood Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Tents,08/14/2015,08/17/2015,3,1
Cape Chignecto,NS ,CANADA ,3,,3,CampsitePermit,Full,Single Tent,08/22/2015,08/25/2015,3,1
Caribou Munroes,NS ,CANADA ,2,,2,CampsitePermit,Senior,Single Tent,07/10/2015,07/12/2015,2,1
Dollar Lake,NS ,CANADA ,2,3,5,CampsitePermit,Full,Single Tent,07/24/2015,07/26/2015,2,1
Porters Lake,AUSTRALIA,OTHER,2,,2,CampsitePermit,Full,Less than 20ft,07/03/2015,07/04/2015,1,1
The Islands,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/18/2015,08/21/2015,3,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/26/2015,07/27/2015,1,1
Rissers Beach,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,08/11/2015,08/12/2015,1,1
Thomas Raddall,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,08/04/2015,08/09/2015,5,1
The Islands,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/20/2015,08/21/2015,1,1
Graves Island,NS ,CANADA ,4,,4,CampsitePermit,Senior,Less than 30ft,09/02/2015,09/07/2015,5,1
Laurie,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/03/2015,07/05/2015,2,1
Mira River,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,07/10/2015,07/12/2015,2,1
