City,YEAR,Province
Victoria County,2015, Nova Scotia
Victoria County,2014, Nova Scotia
Victoria County,2013, Nova Scotia
Victoria County,2012, Nova Scotia
Victoria County,2011, Nova Scotia
Victoria County,2010, Nova Scotia
Westville,2017, Nova Scotia
Westville,2016, Nova Scotia
Westville,2015, Nova Scotia
Westville,2014, Nova Scotia
Westville,2013, Nova Scotia
Westville,2012, Nova Scotia
Westville,2011, Nova Scotia
Westville,2010, Nova Scotia
Windsor,2017, Nova Scotia
Windsor,2016, Nova Scotia
Windsor,2015, Nova Scotia
Windsor,2014, Nova Scotia
Windsor,2013, Nova Scotia
Windsor,2012, Nova Scotia
Windsor,2011, Nova Scotia
Windsor,2010, Nova Scotia
Yarmouth,2017, Nova Scotia
Yarmouth,2016, Nova Scotia
Yarmouth,2015, Nova Scotia
Yarmouth,2014, Nova Scotia
Yarmouth,2013, Nova Scotia
Yarmouth,2012, Nova Scotia
Yarmouth,2011, Nova Scotia
Yarmouth,2010, Nova Scotia
