Registry ID,Address,Incorporation Year,# Co-ops,Co-ops Reporting,New Incorporations,Co-ops Struck,Total Income,Total Expenses,Net Income,Total Assets,Total_Liability,Total_Equity,Full Time Employees,Part Time Employees,Total Employees,Total Members,% Co-ops - Boards Filled,% Co-ops - AGM Held,% Co-ops - Quorum at AGM,% Co-ops - Mbrs Approved Fins,AVG # of Board Meeting,AVG # of Member Meetings,AVG # of Educational Event,Total Board Meetings,Total Member Meetings,Members at Educational Event,# Co-ops - Boards Filled,# Co-ops - Quorum at AGM,# Co-ops - AGM Held,# Co-ops - Mbrs Approved Fins
3267060,2203 GOTTINGEN STREET,2012,347,310,14,5,671128377,670351397,776979,356189314,233251379,122937932,1716,1140,2856,43777,82,87,84,81,7,3,9,1958,906,2503,267,274,282,262
3273128,PO BOX 730,2013,336,308,11,22,506352075,500171435,6180640,289646396,195514937,94131460,1327,1038,2365,43336,83,89,87,82,7,3,9,1959,989,2478,266,279,284,261
3235926,209 MAIN STREET,2009,287,281,22,20,763940213,761533667,2406546,388203801,278364111,109839691,2116,1049,3165,41195,85,91,89,84,7,3,9,1885,764,2490,250,262,268,246
3256956,751 WEST SHIP HARBOUR ROAD,2011,338,301,33,8,685590572,685375959,214613,379605993,261016470,118589529,1965,1242,3207,44119,80,86,84,79,7,3,8,2148,926,2178,260,272,280,258
3255104,6136 UNIVERSITY AVENUE,2011,338,301,33,8,685590572,685375959,214613,379605993,261016470,118589529,1965,1242,3207,44119,80,86,84,79,7,3,8,2148,926,2178,260,272,280,258
3245670,PO BOX 185,2010,310,287,22,2,754447050,743909309,10537741,408736491,284866965,123869530,1964,1138,3102,45130,80,88,86,80,7,3,6,2074,898,1753,246,264,270,245
3237614,8-40 THORNHILL DRIVE,2009,287,281,22,20,763940213,761533667,2406546,388203801,278364111,109839691,2116,1049,3165,41195,85,91,89,84,7,3,9,1885,764,2490,250,262,268,246
3256960,PO BOX 129,2011,338,301,33,8,685590572,685375959,214613,379605993,261016470,118589529,1965,1242,3207,44119,80,86,84,79,7,3,8,2148,926,2178,260,272,280,258
3305304,PO BOX 595,2017,325,296,16,23,278194215,274198546,3995669,165172763,96019123,69153643,673,772,1445,42230,83,89,88,86,6,3,8,1857,804,2223,257,274,277,268
3245666,3314 HWY 366,2010,310,287,22,2,754447050,743909309,10537741,408736491,284866965,123869530,1964,1138,3102,45130,80,88,86,80,7,3,6,2074,898,1753,246,264,270,245
3283084,1 THISTLE STREET,2014,339,316,19,17,384932915,360962357,23970558,275546205,158580532,116965677,945,932,1877,45436,80,90,88,84,7,3,8,1999,929,2568,263,288,297,277
3295869,13371 HWY 4,2016,333,297,15,24,428631439,438833402,-10201963,254973623,155352084,99621538,916,745,1661,41572,84,87,86,85,6,3,12,1830,830,3600,261,268,271,263
3302527,"RR1, CHURCH POINT, BOX 119-B",2016,333,297,15,24,428631439,438833402,-10201963,254973623,155352084,99621538,916,745,1661,41572,84,87,86,85,6,3,12,1830,830,3600,261,268,271,263
3255581,2695 RTE 236,2011,338,301,33,8,685590572,685375959,214613,379605993,261016470,118589529,1965,1242,3207,44119,80,86,84,79,7,3,8,2148,926,2178,260,272,280,258
3257242,"936 CHETICAMP BACK ROAD, PO BOX 43",2011,338,301,33,8,685590572,685375959,214613,379605993,261016470,118589529,1965,1242,3207,44119,80,86,84,79,7,3,8,2148,926,2178,260,272,280,258
3254486,PO BOX 211,2011,338,301,33,8,685590572,685375959,214613,379605993,261016470,118589529,1965,1242,3207,44119,80,86,84,79,7,3,8,2148,926,2178,260,272,280,258
